Date (Mth),Transaction Type, Value (AED Billions) , Number 
Jan-20,Sales - Off Plan," 1,751,489,310 "," 1,495 "
Jan-20,Sales - Ready," 2,553,592,298 "," 1,399 "
Dec-19,Sales - Off Plan," 2,833,918,333 "," 1,683 "
Dec-19,Sales - Ready," 2,070,608,607 "," 1,119 "
Nov-19,Sales - Off Plan," 4,630,339,344 "," 1,796 "
Nov-19,Sales - Ready," 3,623,014,856 "," 3,054 "
Oct-19,Sales - Ready," 2,968,572,410 "," 2,860 "
Oct-19,Sales - Off Plan," 4,149,718,664 "," 1,692 "
Sep-19,Sales - Off Plan," 3,245,394,742 "," 2,597 "
Sep-19,Sales - Ready," 2,306,287,344 "," 1,181 "
Aug-19,Sales - Off Plan," 1,553,898,203 "," 1,036 "
Aug-19,Sales - Ready," 1,777,228,684 "," 1,075 "
Jul-19,Sales - Ready," 3,133,240,988 "," 1,859 "
Jul-19,Sales - Off Plan," 3,300,189,880 "," 2,271 "
Jun-19,Sales - Off Plan," 2,635,929,443 ", 893 
Jun-19,Sales - Ready," 2,224,186,586 "," 1,751 "
May-19,Sales - Ready," 2,313,849,008 "," 1,196 "
May-19,Sales - Off Plan," 2,873,367,015 "," 2,022 "
Apr-19,Sales - Off Plan," 1,694,086,347 "," 1,405 "
Apr-19,Sales - Ready," 2,532,479,786 "," 1,398 "
Mar-19,Sales - Ready," 2,108,053,637 "," 1,891 "
Mar-19,Sales - Off Plan," 2,846,858,310 "," 1,177 "
Feb-19,Sales - Off Plan," 3,078,408,543 "," 1,713 "
Feb-19,Sales - Ready," 2,358,552,758 "," 1,262 "
Jan-19,Sales - Off Plan," 1,921,750,684 "," 1,360 "
Jan-19,Sales - Ready," 2,019,094,672 "," 1,038 "
Dec-18,Sales - Off Plan," 1,723,052,569 "," 1,160 "
Dec-18,Sales - Ready," 1,991,808,330 "," 1,367 "
Nov-18,Sales - Off Plan," 2,015,713,874 "," 1,500 "
Nov-18,Sales - Ready," 2,275,694,726 "," 1,267 "
Oct-18,Sales - Off Plan," 2,098,277,663 "," 1,474 "
Oct-18,Sales - Ready," 2,812,547,077 "," 1,670 "
Sep-18,Sales - Off Plan," 1,550,271,117 "," 1,260 "
Sep-18,Sales - Ready," 2,446,498,303 "," 1,202 "
Aug-18,Sales - Ready," 1,692,422,517 ", 826 
Aug-18,Sales - Off Plan," 1,065,574,611 ", 782 
Jul-18,Sales - Ready," 2,785,954,118 "," 1,399 "
Jul-18,Sales - Off Plan," 1,903,524,000 "," 1,329 "
Jun-18,Sales - Off Plan," 1,999,891,152 ", 826 
Jun-18,Sales - Ready," 1,557,353,917 "," 1,377 "
May-18,Sales - Ready," 2,431,466,188 "," 2,009 "
May-18,Sales - Off Plan," 2,489,274,002 "," 1,311 "
Apr-18,Sales - Off Plan," 2,246,870,382 "," 1,611 "
Apr-18,Sales - Ready," 2,389,956,953 "," 1,181 "
Mar-18,Sales - Ready," 2,746,929,140 "," 1,444 "
Mar-18,Sales - Off Plan," 1,830,790,827 "," 1,308 "
Feb-18,Sales - Ready," 1,857,789,705 "," 1,593 "
Feb-18,Sales - Off Plan," 2,054,143,228 "," 1,146 "
Jan-18,Sales - Ready," 2,265,011,175 "," 1,288 "
Jan-18,Sales - Off Plan," 2,160,359,905 "," 1,742 "
Dec-17,Sales - Ready," 2,966,510,163 "," 2,353 "
Dec-17,Sales - Off Plan," 3,508,296,128 "," 1,421 "
Nov-17,Sales - Off Plan," 2,139,783,613 "," 1,373 "
Nov-17,Sales - Ready," 2,429,962,734 "," 1,816 "
Oct-17,Sales - Ready," 2,603,192,484 "," 2,031 "
Oct-17,Sales - Off Plan," 2,510,664,561 "," 1,321 "
Sep-17,Sales - Ready," 1,893,850,503 ", 954 
Sep-17,Sales - Off Plan," 2,941,586,206 "," 2,015 "
Aug-17,Sales - Off Plan," 3,739,712,081 "," 2,443 "
Aug-17,Sales - Ready," 2,541,296,584 "," 1,358 "
Jul-17,Sales - Off Plan," 3,315,870,272 "," 2,436 "
Jul-17,Sales - Ready," 2,529,854,857 "," 1,252 "
Jun-17,Sales - Off Plan," 1,543,719,270 ", 995 
Jun-17,Sales - Ready," 2,203,412,607 "," 1,243 "
May-17,Sales - Ready," 3,023,359,583 "," 1,539 "
May-17,Sales - Off Plan," 2,107,336,453 "," 1,811 "
Apr-17,Sales - Ready," 2,674,096,793 "," 1,664 "
Apr-17,Sales - Off Plan," 2,322,576,517 "," 1,365 "
Mar-17,Sales - Off Plan," 3,129,604,113 "," 1,744 "
Mar-17,Sales - Ready," 3,341,487,688 "," 2,166 "
Feb-17,Sales - Ready," 3,081,650,004 "," 2,820 "
