,neighborhood,arson,assault,bad checks,bribery,burglary,disorderly conduct,driving under the influence,drug/narcotic,drunkenness,embezzlement,extortion,family offenses,forgery/counterfeiting,fraud,gambling,kidnapping,larceny/theft,liquor laws,loitering,missing person,non-criminal,other offenses,pornography/obscene mat,prostitution,recovered vehicle,robbery,runaway,secondary codes,"sex offenses, forcible","sex offenses, non forcible",stolen property,suicide,suspicious occ,trea,trespass,vandalism,vehicle theft,warrants,weapon laws,totalincidents
0,Alamo Square,2.0,91.0,0.0,0.0,91.0,3.0,2.0,17.0,1.0,4.0,0.0,0.0,6.0,26.0,1.0,2.0,536.0,1.0,0.0,20.0,110.0,179.0,0.0,1.0,4.0,55.0,0.0,9.0,5.0,0.0,8.0,1.0,50.0,0.0,9.0,77.0,101.0,35.0,11.0,1458.0
1,Anza Vista,4.0,87.0,0.0,0.0,79.0,3.0,8.0,16.0,0.0,3.0,1.0,1.0,14.0,24.0,0.0,2.0,501.0,1.0,0.0,53.0,102.0,125.0,0.0,1.0,3.0,30.0,1.0,18.0,2.0,0.0,10.0,0.0,42.0,0.0,14.0,63.0,79.0,36.0,11.0,1334.0
2,Apparel City,4.0,99.0,1.0,0.0,40.0,2.0,6.0,35.0,3.0,3.0,0.0,1.0,10.0,13.0,0.0,3.0,173.0,0.0,0.0,6.0,72.0,312.0,0.0,0.0,8.0,39.0,0.0,5.0,3.0,0.0,4.0,0.0,44.0,0.0,8.0,56.0,82.0,53.0,9.0,1094.0
3,Aquatic Park / Ft. Mason,0.0,50.0,0.0,0.0,34.0,2.0,4.0,10.0,4.0,1.0,0.0,0.0,2.0,14.0,0.0,2.0,653.0,0.0,0.0,7.0,137.0,99.0,0.0,1.0,4.0,18.0,0.0,6.0,1.0,0.0,11.0,0.0,31.0,0.0,5.0,84.0,65.0,13.0,6.0,1264.0
4,Ashbury Heights,2.0,20.0,0.0,0.0,66.0,1.0,0.0,8.0,2.0,1.0,0.0,1.0,10.0,14.0,0.0,0.0,131.0,0.0,0.0,16.0,55.0,58.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,3.0,2.0,27.0,0.0,4.0,35.0,92.0,10.0,1.0,573.0
5,Balboa Terrace,0.0,25.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,1.0,14.0,26.0,27.0,0.0,0.0,0.0,9.0,1.0,12.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,35.0,12.0,2.0,8.0,253.0
6,Bayview,46.0,1588.0,1.0,18.0,347.0,24.0,36.0,937.0,41.0,15.0,4.0,14.0,96.0,106.0,3.0,57.0,958.0,19.0,9.0,478.0,941.0,2895.0,1.0,6.0,109.0,366.0,20.0,274.0,64.0,4.0,39.0,4.0,594.0,0.0,75.0,679.0,686.0,752.0,362.0,12668.0
7,Bernal Heights,12.0,704.0,3.0,4.0,239.0,14.0,13.0,189.0,26.0,2.0,4.0,5.0,61.0,105.0,1.0,17.0,1015.0,14.0,1.0,306.0,561.0,980.0,0.0,0.0,45.0,180.0,9.0,107.0,38.0,2.0,24.0,5.0,231.0,1.0,43.0,369.0,614.0,260.0,75.0,6279.0
8,Bret Harte,28.0,561.0,4.0,1.0,175.0,13.0,6.0,180.0,10.0,3.0,2.0,2.0,22.0,34.0,0.0,24.0,301.0,4.0,2.0,192.0,252.0,652.0,0.0,1.0,38.0,128.0,6.0,91.0,24.0,2.0,8.0,0.0,182.0,0.0,41.0,309.0,260.0,177.0,100.0,3835.0
9,Buena Vista,3.0,98.0,1.0,1.0,145.0,8.0,4.0,39.0,7.0,2.0,0.0,1.0,16.0,44.0,0.0,5.0,463.0,2.0,0.0,165.0,231.0,243.0,0.0,0.0,11.0,28.0,168.0,16.0,15.0,0.0,9.0,1.0,58.0,0.0,7.0,97.0,280.0,77.0,10.0,2255.0
