,neighborhood,charter,private,public,gsRating,enrollment
0,Alamo Square,0.0,1.0,1.0,5.396694214876033,252.0938775510204
1,Anza Vista,0.0,0.0,1.0,7.0,636.0
2,Ashbury Heights,0.0,0.0,1.0,8.0,395.0
3,Balboa Terrace,0.0,0.0,2.0,7.5,697.5
4,Bayview,1.0,2.0,2.0,4.558677685950412,275.0751020408163
5,Bernal Heights,0.0,2.0,2.0,3.448347107438016,257.5
6,Bret Harte,2.0,0.0,1.0,2.3333333333333335,179.33333333333334
7,Castro,0.0,2.0,0.0,5.396694214876033,142.5
8,Cathedral Hill,0.0,2.0,0.0,5.396694214876033,725.0
9,Cayuga,1.0,1.0,2.0,4.349173553719008,581.75
10,Chinatown,0.0,2.0,2.0,5.797520661157024,316.5
11,Civic Center,0.0,3.0,2.0,4.917355371900826,351.27510204081625
12,Corona Heights,0.0,1.0,1.0,6.198347107438016,196.5
13,Cow Hollow,0.0,1.0,0.0,5.396694214876033,270.0
14,Crocker Amazon,0.0,2.0,2.0,4.448347107438016,410.04693877551017
15,Dogpatch,0.0,3.0,0.0,5.396694214876033,229.72925170068027
16,Dolores Heights,1.0,3.0,0.0,5.297520661157024,329.5
17,Eureka Valley,0.0,1.0,1.0,3.6983471074380163,308.5938775510204
18,Excelsior,1.0,2.0,4.0,3.827626918536009,351.4553935860058
19,Fairmount,0.0,0.0,1.0,2.0,380.0
20,Financial District,0.0,3.0,0.0,5.396694214876033,259.45850340136053
21,Forest Knolls,0.0,0.0,1.0,8.0,552.0
22,Glen Park,0.0,2.0,3.0,5.358677685950413,350.8
23,Golden Gate Heights,0.0,0.0,1.0,6.0,977.0
24,Haight Ashbury,0.0,2.0,1.0,6.9311294765840215,274.6666666666667
25,Holly Park,0.0,0.0,1.0,5.0,290.0
26,Ingleside,0.0,1.0,0.0,5.396694214876033,167.0
27,Inner Richmond,0.0,7.0,5.0,6.481404958677686,267.86462585034013
28,Inner Sunset,0.0,3.0,3.0,6.198347107438015,284.8333333333333
29,Japantown,0.0,1.0,0.0,5.396694214876033,203.0
30,Laguna Honda,0.0,2.0,0.0,5.396694214876033,345.0938775510204
31,Lake Street,0.0,1.0,0.0,5.396694214876033,86.0
32,Lakeshore,0.0,5.0,2.0,5.85478158205431,673.0536443148687
33,Laurel Heights / Jordan Park,0.0,1.0,0.0,5.396694214876033,379.1877551020408
34,Lower Haight,0.0,3.0,1.0,5.047520661157024,268.3438775510204
35,Lower Nob Hill,0.0,0.0,1.0,6.0,255.0
36,Lower Pacific Heights,0.0,1.0,1.0,3.6983471074380163,214.0
37,Marina,0.0,2.0,2.0,6.948347107438016,383.75
38,Merced Heights,0.0,0.0,1.0,7.0,393.0
39,Miraloma Park,0.0,1.0,1.0,6.698347107438016,384.5938775510204
40,Mission,1.0,6.0,7.0,4.555489964580874,273.8705539358601
41,Mission Dolores,0.0,3.0,3.0,3.698347107438016,506.3333333333333
42,Mission Terrace,0.0,1.0,0.0,5.396694214876033,379.1877551020408
43,Mt. Davidson Manor,0.0,1.0,0.0,5.396694214876033,379.1877551020408
44,Nob Hill,0.0,1.0,1.0,5.198347107438016,306.0
45,Noe Valley,0.0,2.0,2.0,3.448347107438016,292.0
46,North Beach,0.0,2.0,2.0,6.698347107438016,281.75
47,Oceanview,0.0,3.0,1.0,4.797520661157025,279.29693877551017
48,Outer Mission,0.0,1.0,0.0,5.396694214876033,379.1877551020408
49,Outer Richmond,0.0,8.0,5.0,6.274634456452639,470.7356357927786
50,Outer Sunset,0.0,4.0,6.0,7.498347107438017,599.018775510204
51,Pacific Heights,0.0,13.0,1.0,5.439787485242031,338.9822157434402
52,Panhandle,0.0,0.0,1.0,9.0,260.0
53,Parkmerced,0.0,1.0,0.0,5.396694214876033,379.1877551020408
54,Parkside,0.0,1.0,3.0,7.599173553719008,779.0
55,Portola,0.0,4.0,3.0,5.226682408500589,504.33935860058307
56,Potrero Hill,1.0,4.0,4.0,4.820018365472911,224.6875283446712
57,Presidio Heights,0.0,1.0,0.0,5.396694214876033,220.0
58,Presidio National Park,0.0,2.0,0.0,5.396694214876033,221.5
59,Russian Hill,0.0,0.0,3.0,7.666666666666667,807.0
60,Seacliff,0.0,1.0,0.0,5.396694214876033,400.0
61,Showplace Square,1.0,1.0,0.0,5.396694214876033,31.0
62,Silver Terrace,0.0,1.0,3.0,2.349173553719008,356.54693877551017
63,South of Market,2.0,4.0,1.0,5.0543093270365995,460.7142857142857
64,Stonestown,0.0,2.0,0.0,5.396694214876033,350.5
65,Sunnyside,0.0,2.0,1.0,5.5977961432506875,209.33333333333334
66,Telegraph Hill,0.0,0.0,1.0,8.0,223.0
67,Tenderloin,0.0,2.0,0.0,5.396694214876033,118.0
68,Treasure Island,1.0,0.0,0.0,5.396694214876033,201.0
69,Union Street,0.0,1.0,1.0,6.198347107438016,196.0
70,University Mound,0.0,2.0,1.0,4.9311294765840215,460.3333333333333
71,Upper Market,0.0,0.0,2.0,6.0,547.0
72,Visitacion Valley,0.0,1.0,3.0,3.099173553719008,346.75
73,West Portal,0.0,3.0,1.0,6.297520661157024,459.75
74,Western Addition,4.0,3.0,1.0,6.023760330578512,325.5
75,Westwood Park,0.0,1.0,0.0,5.396694214876033,680.0
