,gsId,name,type,enrollment,gsRating,parentRating,district,address,lat,lon,geometry,index_right
0,25079,Academy Of Arts And Sciences,public,318.0,4.0,2.0,San Francisco Unified School District,"555 Portola Drive, 
San Francisco, CA  94131",37.745872,-122.44998,POINT (-122.44998 37.745872),San Francisco
1,9563,Adda Clevenger School,private,124.0,5.396694214876033,4.0,,"180 Fair Oaks Street, 
San Francisco, CA  94110",37.7537,-122.42452,POINT (-122.42452 37.7537),San Francisco
2,6335,Alamo Elementary School,public,535.0,8.0,5.0,San Francisco Unified School District,"250 23rd Avenue, 
San Francisco, CA  94121",37.783123,-122.48219,POINT (-122.48219 37.783123),San Francisco
4,26947,AltSchool - Dogpatch,private,60.0,5.396694214876033,5.0,,"2265 3rd Street and 610 20th Street, 
San Francisco, CA  94107",37.760956,-122.3883,POINT (-122.3883 37.760956),San Francisco
5,27287,AltSchool - SOMA,private,30.0,5.396694214876033,4.183673469387755,,"1245 Folsom Street, 
San Francisco, CA  94105",37.77418,-122.410484,POINT (-122.410484 37.77418),San Francisco
6,31701,AltSchool Alamo Square,private,50.0,5.396694214876033,4.183673469387755,,"735 Fell St, 
San Francisco, CA  94117",37.7747,-122.43015,POINT (-122.43015 37.7747),San Francisco
7,31700,AltSchool Fort Mason,private,70.0,5.396694214876033,4.183673469387755,,"3741 Buchanan St, 
San Francisco, CA  94123",37.80456,-122.43391,POINT (-122.43391 37.80456),San Francisco
8,31702,AltSchool SOMA,private,25.0,5.396694214876033,4.183673469387755,,"1245 folsom st, 
San Francisco, CA  94103",37.77418,-122.410484,POINT (-122.410484 37.77418),San Francisco
9,31718,AltSchool Yerba Buena,private,90.0,5.396694214876033,4.183673469387755,,"300 4th St, 
San Francisco, CA  94107",37.78176,-122.4012,POINT (-122.4012 37.78176),San Francisco
11,25495,Alta Vista School,private,278.0,5.396694214876033,5.0,,"450 Somerset Street, 
San Francisco, CA  94134",37.725716,-122.40782,POINT (-122.40782 37.725716),San Francisco
12,31532,"Altschool, Inc.",private,379.1877551020408,5.396694214876033,4.183673469387755,,"2265 3rd Street, 
San Francisco, CA  94107",37.760956,-122.3883,POINT (-122.3883 37.760956),San Francisco
13,6336,Alvarado Elementary School,public,508.0,6.0,4.0,San Francisco Unified School District,"625 Douglas Street, 
San Francisco, CA  94114",37.753674,-122.43873,POINT (-122.43873 37.753674),San Francisco
14,31671,Amici World School,private,8.0,5.396694214876033,5.0,,"3627 Broderick Street, 
San Francisco, CA  94123",37.803875,-122.44571,POINT (-122.44571 37.803875),San Francisco
15,6337,Aptos Middle School,public,1000.0,7.0,4.0,San Francisco Unified School District,"105 Aptos Avenue, 
San Francisco, CA  94127",37.730232,-122.46623,POINT (-122.46623 37.730232),San Francisco
16,8106,Archbishop Riordan High School,private,680.0,5.396694214876033,4.0,,"175 Phelan Avenue, San Francisco, CA 94112, 
San Francisco, CA  94112",37.728203,-122.453636,POINT (-122.453636 37.728203),San Francisco
17,6338,Argonne Elementary School,public,430.0,7.0,4.0,San Francisco Unified School District,"680 18th Avenue, 
San Francisco, CA  94121",37.77515,-122.47679,POINT (-122.47679 37.77515),San Francisco
18,6339,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.",public,614.0,8.0,4.0,San Francisco Unified School District,"555 Portola Drive, 
San Francisco, CA  94131",37.745872,-122.44998,POINT (-122.44998 37.745872),San Francisco
20,16584,Bais Menachem Yeshiva Day School,private,60.0,5.396694214876033,3.0,,"834 28th Avenue, 
San Francisco, CA  94121",37.7736,-122.48719,POINT (-122.48719 37.7736),San Francisco
21,6340,Balboa High School,public,1260.0,6.0,4.0,San Francisco Unified School District,"1000 Cayuga Avenue, 
San Francisco, CA  94112",37.722073,-122.43985,POINT (-122.43985 37.722073),San Francisco
22,32187,Brown Jr. (Willie L) Middle,public,201.0,1.0,4.183673469387755,San Francisco Unified School District,"2055 Silver Avenue, 
San Francisco, CA  94122",37.735912,-122.39969,POINT (-122.39969 37.735912),San Francisco
