,sale_date,neighborhood
0,2013-03-22,Lincoln Park / Ft. Miley
1,2017-08-17,Outer Sunset
2,2010-08-20,Sutro Heights
3,2012-07-13,Sutro Heights
4,2018-06-21,Sutro Heights
5,2009-05-19,Outer Sunset
6,2018-11-28,Outer Sunset
7,2015-12-16,Outer Sunset
8,2018-05-23,Outer Sunset
9,2010-05-14,Outer Richmond
10,2013-06-11,Outer Richmond
11,2013-12-18,Outer Richmond
12,2017-07-26,Outer Richmond
13,2016-01-05,Outer Richmond
14,2018-03-23,Outer Richmond
15,2013-09-26,Outer Richmond
16,2018-07-18,Outer Sunset
17,2012-05-23,Outer Richmond
18,2015-01-06,Outer Richmond
19,2014-12-17,Outer Richmond
20,2016-06-30,Outer Richmond
21,2014-08-26,Outer Richmond
22,2018-04-09,Outer Richmond
23,2009-07-21,Outer Richmond
24,2012-06-22,Outer Richmond
25,2010-10-01,Outer Sunset
26,2016-04-08,Outer Richmond
27,2015-03-24,Outer Sunset
28,2010-06-10,Outer Sunset
29,2012-03-27,Sutro Heights
30,2016-03-08,Sutro Heights
31,2014-07-29,Sutro Heights
32,2009-06-05,Sutro Heights
33,2013-12-04,Sutro Heights
34,2011-11-15,Sutro Heights
35,2011-11-15,Outer Richmond
36,2011-11-15,Sutro Heights
37,2011-11-15,Outer Richmond
38,2011-07-19,Sutro Heights
39,2013-10-31,Outer Sunset
40,2017-04-28,Outer Sunset
41,2011-03-29,Outer Sunset
42,2009-04-08,Sutro Heights
43,2017-08-25,Sutro Heights
44,2013-07-30,Outer Sunset
45,2012-10-03,Outer Sunset
46,2011-11-09,Sutro Heights
47,2009-09-21,Outer Sunset
48,2018-03-14,Outer Sunset
49,2015-04-06,Sutro Heights
50,2011-03-25,Sutro Heights
51,2012-12-18,Outer Sunset
52,2013-11-13,Outer Sunset
53,2011-05-24,Outer Richmond
54,2011-12-20,Sutro Heights
55,2012-11-08,Outer Sunset
56,2014-03-28,Sutro Heights
57,2017-01-30,Sutro Heights
58,2014-12-10,Outer Sunset
59,2018-05-22,Sutro Heights
60,2014-09-19,Outer Sunset
61,2013-01-16,Outer Sunset
62,2014-11-18,Outer Sunset
63,2017-11-15,Sutro Heights
64,2018-03-13,Sutro Heights
65,2018-03-30,Outer Sunset
66,2013-02-13,Sutro Heights
67,2014-05-28,Sutro Heights
68,2017-12-18,Sutro Heights
69,2014-07-03,Sutro Heights
70,2009-05-22,Sutro Heights
71,2014-11-04,Outer Sunset
72,2018-09-14,Outer Sunset
73,2012-07-19,Outer Sunset
74,2014-05-02,Outer Sunset
75,2013-11-26,Sutro Heights
76,2017-04-07,Outer Sunset
77,2018-09-28,Sutro Heights
78,2011-08-12,Outer Sunset
79,2012-09-25,Outer Sunset
80,2009-04-03,Outer Sunset
81,2013-09-19,Outer Sunset
82,2012-04-13,Sutro Heights
83,2013-10-22,Outer Sunset
84,2009-06-30,Outer Sunset
85,2012-11-09,Sutro Heights
86,2010-04-21,Sutro Heights
87,2011-07-20,Outer Sunset
88,2011-08-04,Outer Sunset
89,2013-12-24,Outer Richmond
90,2017-11-22,Outer Sunset
91,2010-04-28,Outer Richmond
92,2014-07-11,Outer Richmond
93,2013-03-15,Outer Sunset
94,2014-04-02,Outer Richmond
95,2016-12-16,Outer Sunset
96,2016-07-22,Outer Sunset
97,2015-10-01,Outer Richmond
98,2011-11-04,Outer Sunset
99,2015-09-23,Outer Richmond
100,2012-08-17,Outer Richmond
101,2012-03-30,Outer Richmond
102,2012-03-08,Outer Sunset
103,2011-06-21,Outer Sunset
104,2018-07-27,Sutro Heights
105,2011-06-30,Outer Sunset
106,2011-02-25,Outer Sunset
107,2010-05-25,Outer Sunset
108,2013-03-08,Outer Richmond
109,2010-05-19,Outer Richmond
110,2012-11-21,Outer Richmond
111,2011-12-23,Outer Sunset
112,2017-09-07,Outer Richmond
113,2011-12-01,Outer Richmond
114,2016-09-02,Outer Sunset
115,2012-03-13,Outer Sunset
116,2009-04-17,Outer Sunset
117,2014-07-18,Outer Sunset
118,2010-10-14,Outer Sunset
119,2016-02-02,Outer Sunset
120,2017-01-18,Outer Sunset
121,2017-09-12,Outer Sunset
122,2009-05-15,Outer Sunset
123,2011-04-15,Outer Sunset
124,2017-06-09,Outer Sunset
125,2011-03-22,Outer Sunset
126,2009-08-04,Outer Sunset
127,2011-02-14,Outer Sunset
128,2016-04-26,Outer Sunset
129,2015-09-18,Outer Sunset
130,2011-03-10,Sutro Heights
131,2016-05-13,Outer Sunset
132,2016-03-31,Outer Sunset
133,2017-08-28,Outer Sunset
134,2013-03-19,Sutro Heights
135,2015-06-19,Outer Sunset
136,2014-02-21,Outer Sunset
137,2012-03-21,Outer Sunset
138,2011-11-15,Outer Sunset
139,2017-06-09,Outer Sunset
140,2014-11-24,Sutro Heights
141,2012-11-30,Outer Sunset
142,2013-05-24,Outer Sunset
143,2015-10-22,Outer Sunset
144,2013-12-27,Sutro Heights
145,2017-03-31,Sutro Heights
146,2013-07-31,Sutro Heights
147,2010-07-15,Sutro Heights
148,2016-06-01,Sutro Heights
149,2013-08-07,Outer Sunset
150,2014-05-15,Outer Sunset
151,2017-07-07,Outer Sunset
152,2017-12-20,Outer Sunset
153,2012-03-29,Outer Sunset
154,2012-03-28,Outer Sunset
155,2018-06-05,Sutro Heights
156,2013-07-17,Outer Sunset
157,2014-05-15,Outer Sunset
158,2010-03-01,Sutro Heights
159,2011-06-22,Sutro Heights
160,2015-05-22,Outer Sunset
161,2017-02-10,Outer Sunset
162,2017-05-08,Outer Sunset
163,2012-03-15,Outer Sunset
164,2016-12-13,Outer Sunset
165,2017-08-24,Outer Sunset
166,2010-08-13,Outer Sunset
167,2010-02-18,Outer Sunset
168,2010-11-23,Outer Sunset
169,2012-04-13,Sutro Heights
170,2015-10-27,Outer Sunset
171,2014-01-28,Outer Sunset
172,2013-07-09,Outer Sunset
173,2016-01-28,Sutro Heights
174,2017-03-31,Sutro Heights
175,2015-03-09,Outer Sunset
176,2018-12-18,Outer Sunset
177,2011-03-31,Outer Sunset
178,2009-05-29,Outer Sunset
179,2014-04-09,Outer Sunset
180,2010-05-28,Sutro Heights
181,2010-04-23,Sutro Heights
182,2016-04-11,Outer Sunset
183,2013-10-25,Outer Sunset
184,2013-11-06,Sutro Heights
185,2014-03-14,Sutro Heights
186,2011-04-25,Outer Sunset
187,2009-10-06,Outer Sunset
188,2013-07-30,Outer Sunset
189,2016-10-19,Sutro Heights
190,2018-09-12,Sutro Heights
191,2009-02-26,Outer Sunset
192,2011-08-23,Sutro Heights
193,2016-01-12,Sutro Heights
194,2010-09-16,Sutro Heights
195,2014-05-14,Sutro Heights
196,2009-05-08,Sutro Heights
197,2016-05-16,Outer Sunset
198,2014-02-25,Sutro Heights
199,2014-02-25,Outer Richmond
200,2014-02-25,Sutro Heights
201,2014-02-25,Outer Richmond
202,2013-04-23,Outer Sunset
203,2015-10-13,Outer Sunset
204,2013-07-26,Outer Sunset
205,2015-10-02,Sutro Heights
206,2009-11-05,Sutro Heights
207,2011-09-15,Sutro Heights
208,2014-03-10,Outer Sunset
209,2017-11-22,Outer Sunset
210,2015-02-24,Sutro Heights
211,2018-08-08,Sutro Heights
212,2010-12-23,Sutro Heights
213,2012-02-03,Outer Sunset
214,2013-01-30,Outer Sunset
215,2018-04-16,Sutro Heights
216,2017-06-16,Outer Sunset
217,2011-04-01,Outer Sunset
218,2016-10-27,Outer Sunset
219,2014-12-11,Outer Sunset
220,2011-05-12,Outer Richmond
221,2011-08-22,Outer Sunset
222,2015-06-23,Outer Richmond
223,2015-05-06,Outer Sunset
224,2018-05-30,Outer Sunset
225,2009-12-10,Outer Sunset
226,2010-08-13,Outer Sunset
227,2013-01-04,Outer Sunset
228,2015-03-19,Sutro Heights
229,2017-11-06,Sutro Heights
230,2012-03-23,Outer Sunset
231,2010-10-01,Outer Richmond
232,2009-02-20,Outer Sunset
233,2011-05-18,Outer Sunset
234,2018-08-29,Outer Richmond
235,2018-12-20,Outer Richmond
236,2010-04-08,Outer Sunset
237,2012-04-18,Outer Sunset
238,2018-11-27,Outer Richmond
239,2011-09-26,Outer Sunset
240,2018-12-04,Outer Richmond
241,2012-05-16,Sutro Heights
242,2014-08-06,Outer Sunset
243,2016-06-15,Outer Sunset
244,2011-11-10,Outer Sunset
245,2016-03-18,Outer Richmond
246,2017-07-14,Outer Richmond
247,2009-06-03,Outer Sunset
248,2012-10-19,Outer Richmond
249,2013-06-07,Outer Richmond
250,2011-08-08,Outer Richmond
251,2014-12-02,Outer Sunset
252,2014-08-12,Outer Richmond
253,2010-04-16,Outer Sunset
254,2011-03-24,Outer Richmond
255,2012-03-23,Outer Richmond
256,2012-08-15,Outer Sunset
257,2018-01-09,Outer Sunset
258,2017-07-20,Outer Richmond
259,2016-12-22,Outer Richmond
260,2018-11-30,Outer Richmond
261,2011-11-09,Outer Sunset
262,2011-11-01,Outer Sunset
263,2011-05-20,Outer Richmond
264,2010-07-13,Outer Sunset
265,2011-05-27,Outer Sunset
266,2015-02-20,Outer Sunset
267,2011-07-15,Outer Sunset
268,2013-11-05,Outer Sunset
269,2018-09-14,Outer Sunset
270,2012-02-17,Outer Sunset
271,2016-10-07,Sutro Heights
272,2014-05-23,Outer Sunset
273,2011-07-08,Outer Sunset
274,2009-06-30,Outer Sunset
275,2009-11-25,Outer Sunset
276,2015-12-11,Outer Sunset
277,2018-04-25,Outer Sunset
278,2016-04-30,Outer Sunset
279,2016-06-07,Outer Sunset
280,2016-09-30,Outer Sunset
281,2013-05-02,Outer Sunset
282,2013-06-04,Outer Sunset
283,2011-02-23,Outer Sunset
284,2011-06-30,Outer Sunset
285,2011-11-21,Outer Sunset
286,2014-05-16,Sutro Heights
287,2012-09-13,Sutro Heights
288,2010-10-27,Outer Sunset
289,2011-05-13,Outer Sunset
290,2011-09-15,Sutro Heights
291,2017-10-31,Sutro Heights
292,2010-06-17,Outer Sunset
293,2010-12-15,Outer Sunset
294,2010-12-15,Outer Sunset
295,2016-10-26,Outer Sunset
296,2010-07-30,Outer Sunset
297,2011-04-12,Sutro Heights
298,2014-09-09,Outer Sunset
299,2017-06-30,Outer Sunset
300,2009-12-15,Outer Sunset
301,2011-05-13,Outer Sunset
302,2009-10-23,Outer Sunset
303,2009-07-09,Outer Sunset
304,2015-09-25,Outer Sunset
305,2015-09-11,Outer Sunset
306,2015-03-26,Outer Sunset
307,2015-10-15,Parkside
