Date (Mth),Transaction Type, Value (AED Billions) 
Jan-20,Sales - Off Plan," 1,751,489,310 "
Jan-20,Sales - Ready," 2,553,592,298 "
Dec-19,Sales - Off Plan," 2,833,918,333 "
Dec-19,Sales - Ready," 2,070,608,607 "
Nov-19,Sales - Off Plan," 4,630,339,344 "
Nov-19,Sales - Ready," 3,623,014,856 "
Oct-19,Sales - Ready," 2,968,572,410 "
Oct-19,Sales - Off Plan," 4,149,718,664 "
Sep-19,Sales - Off Plan," 3,245,394,742 "
Sep-19,Sales - Ready," 2,306,287,344 "
Aug-19,Sales - Off Plan," 1,553,898,203 "
Aug-19,Sales - Ready," 1,777,228,684 "
Jul-19,Sales - Ready," 3,133,240,988 "
Jul-19,Sales - Off Plan," 3,300,189,880 "
Jun-19,Sales - Off Plan," 2,635,929,443 "
Jun-19,Sales - Ready," 2,224,186,586 "
May-19,Sales - Ready," 2,313,849,008 "
May-19,Sales - Off Plan," 2,873,367,015 "
Apr-19,Sales - Off Plan," 1,694,086,347 "
Apr-19,Sales - Ready," 2,532,479,786 "
Mar-19,Sales - Ready," 2,108,053,637 "
Mar-19,Sales - Off Plan," 2,846,858,310 "
Feb-19,Sales - Off Plan," 3,078,408,543 "
Feb-19,Sales - Ready," 2,358,552,758 "
Jan-19,Sales - Off Plan," 1,921,750,684 "
Jan-19,Sales - Ready," 2,019,094,672 "
Dec-18,Sales - Off Plan," 1,723,052,569 "
Dec-18,Sales - Ready," 1,991,808,330 "
Nov-18,Sales - Off Plan," 2,015,713,874 "
Nov-18,Sales - Ready," 2,275,694,726 "
Oct-18,Sales - Off Plan," 2,098,277,663 "
Oct-18,Sales - Ready," 2,812,547,077 "
Sep-18,Sales - Off Plan," 1,550,271,117 "
Sep-18,Sales - Ready," 2,446,498,303 "
Aug-18,Sales - Ready," 1,692,422,517 "
Aug-18,Sales - Off Plan," 1,065,574,611 "
Jul-18,Sales - Ready," 2,785,954,118 "
