Date (Mth),Transaction Type, Number 
Jan-20,Sales - Ready," 1,495 "
Jan-20,Sales - Off Plan," 1,399 "
Dec-19,Sales - Off Plan," 1,683 "
Dec-19,Sales - Ready," 1,119 "
Nov-19,Sales - Ready," 1,796 "
Nov-19,Sales - Off Plan," 3,054 "
Oct-19,Sales - Off Plan," 2,860 "
Oct-19,Sales - Ready," 1,692 "
Sep-19,Sales - Off Plan," 2,597 "
Sep-19,Sales - Ready," 1,181 "
Aug-19,Sales - Ready," 1,036 "
Aug-19,Sales - Off Plan," 1,075 "
Jul-19,Sales - Ready," 1,859 "
Jul-19,Sales - Off Plan," 2,271 "
Jun-19,Sales - Ready, 893 
Jun-19,Sales - Off Plan," 1,751 "
May-19,Sales - Ready," 1,196 "
May-19,Sales - Off Plan," 2,022 "
Apr-19,Sales - Ready," 1,405 "
Apr-19,Sales - Off Plan," 1,398 "
Mar-19,Sales - Off Plan," 1,891 "
Mar-19,Sales - Ready," 1,177 "
Feb-19,Sales - Off Plan," 1,713 "
Feb-19,Sales - Ready," 1,262 "
Jan-19,Sales - Off Plan," 1,360 "
Jan-19,Sales - Ready," 1,038 "
Dec-18,Sales - Ready," 1,160 "
Dec-18,Sales - Off Plan," 1,367 "
Nov-18,Sales - Off Plan," 1,500 "
Nov-18,Sales - Ready," 1,267 "
Oct-18,Sales - Ready," 1,474 "
Oct-18,Sales - Off Plan," 1,670 "
Sep-18,Sales - Off Plan," 1,260 "
Sep-18,Sales - Ready," 1,202 "
Aug-18,Sales - Ready, 826 
Aug-18,Sales - Off Plan, 782 
Jul-18,Sales - Off Plan," 1,399 "
Jul-18,Sales - Ready," 1,329 "
Jun-18,Sales - Ready, 826 
Jun-18,Sales - Off Plan," 1,377 "
May-18,Sales - Off Plan," 2,009 "
May-18,Sales - Ready," 1,311 "
Apr-18,Sales - Off Plan," 1,611 "
Apr-18,Sales - Ready," 1,181 "
Mar-18,Sales - Ready," 1,444 "
Mar-18,Sales - Off Plan," 1,308 "
Feb-18,Sales - Off Plan," 1,593 "
Feb-18,Sales - Ready," 1,146 "
Jan-18,Sales - Ready," 1,288 "
Jan-18,Sales - Off Plan," 1,742 "
Dec-17,Sales - Off Plan," 2,353 "
Dec-17,Sales - Ready," 1,421 "
Nov-17,Sales - Ready," 1,373 "
Nov-17,Sales - Off Plan," 1,816 "
Oct-17,Sales - Off Plan," 2,031 "
Oct-17,Sales - Ready," 1,321 "
Sep-17,Sales - Ready, 954 
Sep-17,Sales - Off Plan," 2,015 "
Aug-17,Sales - Off Plan," 2,443 "
Aug-17,Sales - Ready," 1,358 "
Jul-17,Sales - Off Plan," 2,436 "
Jul-17,Sales - Ready," 1,252 "
Jun-17,Sales - Ready, 995 
Jun-17,Sales - Off Plan," 1,243 "
May-17,Sales - Ready," 1,539 "
May-17,Sales - Off Plan," 1,811 "
Apr-17,Sales - Off Plan," 1,664 "
Apr-17,Sales - Ready," 1,365 "
Mar-17,Sales - Ready," 1,744 "
Mar-17,Sales - Off Plan," 2,166 "
Feb-17,Sales - Off Plan," 2,820 "
Feb-17,Sales - Ready," 1,445 "
Jan-17,Sales - Ready," 1,629 "
Jan-17,Sales - Off Plan," 2,737 "
Dec-16,Sales - Ready," 1,302 "
Dec-16,Sales - Off Plan," 1,779 "
Nov-16,Sales - Off Plan," 1,278 "
Nov-16,Sales - Ready," 1,475 "
Oct-16,Sales - Ready," 1,284 "
Oct-16,Sales - Off Plan," 1,094 "
Sep-16,Sales - Ready, 951 
Sep-16,Sales - Off Plan, 965 
Aug-16,Sales - Ready," 1,281 "
Aug-16,Sales - Off Plan," 1,297 "
Jul-16,Sales - Ready," 1,253 "
Jul-16,Sales - Off Plan," 2,372 "
Jun-16,Sales - Off Plan," 1,725 "
Jun-16,Sales - Ready," 1,620 "
