,full_address,longitude,latitude
23242,"2042 10th Ave, San Francisco, CA 94122",-122.4662067,37.750127
23243,"1662 14th Ave, San Francisco, CA 94116",-122.4709829,37.7570309
23244,"2551 15th Ave, San Francisco, CA 94116",-122.471498,37.740392
23245,"534 16th Ave, San Francisco, CA 94121-3509",-122.4747148,37.7779369
23246,"1921 17th Ave, San Francisco, CA 94127",-122.4744322,37.7520228
23247,"1921 17th Ave, San Francisco, CA 94127",-122.4744322,37.7520228
23248,"2346 17th Ave, San Francisco, CA 94122",-122.473469,37.7441719
23249,"356 17th Ave, San Francisco, CA 94118",-122.475904,37.781389
23250,"447 17th Ave, San Francisco, CA 94118",-122.4763863,37.77951760000001
23251,"2282 18th Ave, San Francisco, CA 94122",-122.4745129,37.745335
23252,"2682 19th Ave, San Francisco, CA 94116",-122.4750403,37.7378294
23253,"1679 19th Ave, San Francisco, CA 94122-4517",-122.4768809,37.7563609
23254,"694 19th Ave, San Francisco, CA 94116",-122.4777367,37.7749599
23255,"2924 19th Ave, San Francisco, CA 94132",-122.4747418,37.7339844
23256,"1463 19th Ave, San Francisco, CA 94122",-122.4771629,37.7605328
23257,"3731 20th St, San Francisco, CA 94114",-122.4242288,37.7581316
23258,"2476 21st Ave, San Francisco, CA 94122",-122.4774835,37.7415534
23259,"4348 21st St, San Francisco, CA 94118",-122.4397201,37.7554127
23260,"2186 22nd Ave, San Francisco, CA 94122",-122.4789759,37.7469472
23261,"2971 23rd Ave, San Francisco, CA 93132",-122.4795176,37.733146
23262,"3725-3727 23rd St, San Francisco, CA 94110",-122.4259626,37.7531693
23263,"2135 24th Ave, San Francisco, CA 94122",-122.4816401,37.7477175
23264,"2955 24th Ave, San Francisco, CA 94123",-122.480402,37.7333575
23265,"1853 24th Ave, San Francisco, CA 94556-7033",-122.482027,37.7529673
23266,"3882 25th St, San Francisco, CA 94110",-122.426874,37.75031500000001
23267,"2667 25th Ave, San Francisco, CA 94116",-122.4819499,37.7377574
23268,"155 25th Ave, San Francisco, CA 94115",-122.485487,37.7866085
23269,"859 26th Ave, San Francisco, CA 94122",-122.4855717,37.7732904
23270,"4046 26th St, San Francisco, CA 94114",-122.430441,37.74854000000001
23271,"3961 26th St, San Francisco, CA 94114",-122.428488,37.7481719
23272,"3888 26th St, San Francisco, CA 94114",-122.4267396,37.7486747
23273,"4033 26th St, San Francisco, CA 94114",-122.4301019,37.7481434
23274,"238 28th St, San Francisco, CA 94110",-122.4277682,37.7453888
23275,"667 28th St, San Francisco, CA 94117",-122.4370989,37.7445307
23276,"246 28th Ave, San Francisco, CA 94118",-122.4880383,37.7847368
23277,"1987 29th, San Francisco, CA 94115",-122.4871436,37.7503214
23278,"1462 30th Ave, San Francisco, CA 94112",-122.4884163,37.7600229
23279,"339 31st Ave, San Francisco, CA 94122",-122.4915888,37.7827925
23280,"1207 33rd Ave, San Francisco, CA 9412",-122.4924399,37.7645503
23281,"2110 34th Ave, San Francisco, CA 94122",-122.4919308,37.7476765
23282,"883 35th, San Francisco, CA 94122",-122.49517,37.7724244
23283,"2035 42nd Ave, San Francisco, CA 94118-1024",-122.501017,37.7487318
23284,"1923 44th Ave, San Francisco, CA 94121",-122.5033491,37.7507014
23285,"583 47th Ave, San Francisco, CA 94122-4040",-122.5084772,37.7774341
23286,"65 Alder St, San Francisco, CA 94134-2136",-122.4050368,37.7184337
23287,"134 Alhambra, San Francisco, CA 94177",-122.4387617,37.8022913
23288,"798 Anderson St, San Francisco, CA 94110-6009",-122.4159109,37.7332808
23289,"288 Anzavista, San Francisco, CA 94123",-122.445242,37.7806634
23290,"242 Athens, San Francisco, CA 94126",-122.4268061,37.72416219999999
23291,"51 Belle Ave, San Francisco, CA 94132",-122.4700653,37.7085109
23292,"39 Belle Ave, San Francisco, CA 94132-3210",-122.4699547,37.7085077
23293,"144 Bepler St, San Francisco, CA 94112",-122.463544,37.708174
23294,"193 Bepler St, San Francisco, CA 94112",-122.4642674,37.708271
23295,"30 Bird St, San Francisco, CA 94110",-122.4228573,37.7620903
23296,"2759 Broderick St, San Francisco, CA 94115",-122.4439103,37.7958655
23297,"16 Bronte, San Francisco, CA 94107",-122.4102915,37.73943999999999
23298,"824 Brussels St, San Francisco, CA 04134",-122.403654,37.7218856
23299,"3150 Buchanan, San Francisco, CA 94115",-122.4323249,37.7991314
23300,"181-East Buena Vista Ave, San Francisco, CA 94114",-122.4380095,37.76917419999999
23301,"737 Buena Vista, San Francisco, CA 94117",-122.4441251,37.7683065
23302,"2844 Cabrillo St, San Francisco, CA 94118",-122.489406,37.774352
23303,"6508 California St, San Francisco, CA 94118",-122.4874325,37.7839625
23304,"82 Carr, San Francisco, CA 94108",-122.4539128,37.6727613
23305,"185 Casitas Ave, San Francisco, CA 94127-1601",-122.4595285,37.737627
23306,"240 Chenery St, San Francisco, CA 94114",-122.4267064,37.7384164
23307,"194 Chilton Ave, San Francisco, CA 94131",-122.4371469,37.7328593
23308,"162 College Ave, San Francisco, CA 04112-1013",-122.4257331,37.7351777
23309,"531 College Ave, San Francisco, CA 94112",-122.4232112,37.7324521
23310,"339 College Ave, San Francisco, CA 94112-0000",-122.4235209,37.7338467
23311,"871 Corbett Ave, San Francisco, CA 94131-1376",-122.4435058,37.7529183
23312,"527 Corbett Ave, San Francisco, CA 94114-2219",-122.4442193,37.7576832
23313,"533 Corbett Ave, San Francisco, CA 94114-2219",-122.444174,37.75762479999999
23314,"527 Corbett Ave, San Francisco, CA 94114",-122.4442193,37.7576832
23315,"533 Corbett Ave, San Francisco, CA 94114",-122.444174,37.75762479999999
23316,"711 Corbett Ave, San Francisco, CA 94131",-122.4425063,37.7554586
23317,"771 Corbett Ave, San Francisco, CA 94107",-122.4422672,37.754435
23318,"28 Cotter, San Francisco, CA 94122-1919",-122.43346,37.72768
23319,"79 Cragmont, San Francisco, CA 94112",-122.467644,37.7495541
23320,"360 Cresta Vista, San Francisco, CA 94062",-122.4522974,37.7355965
23321,"66 Cuvier, San Francisco, CA 94131",-122.4288189,37.7338657
23322,"1470-1470 De Haro, San Francisco, CA 94107",-122.4005121,37.7511969
23323,"1164 De Haro, San Francisco, CA 94107",-122.400988,37.755145
23324,"1052 De Haro, San Francisco, CA 94107",-122.4010431,37.7564335
23325,"10 De Soto, San Francisco, CA 94127",-122.4663323,37.7219773
23326,"62 Del Monte St, San Francisco, CA 94112",-122.443662,37.716011
23327,"153 Del Vale St, San Francisco, CA 94128",-122.447133,37.7412097
23328,"186 Dellbrook, San Francisco, CA 93131",-122.4528942,37.7492749
23329,"5587 Diamond Heights Blvd, San Francisco, CA 94131",-122.4368372,37.7383171
23330,"5521 Diamond Heights Blvd, San Francisco, CA 94131-2642",-122.4359967,37.7394694
23331,"5587 Diamond Heights Blvd, San Francisco, CA 94131",-122.4368372,37.7383171
23332,"5553 Diamond Heights Blvd, San Francisco, CA 94114",-122.4363438,37.7387834
23333,"5725 Diamond Heights Blvd, San Francisco, CA 94131",-122.4399338,37.738221
23334,"5567 Diamond Heights Blvd, San Francisco, CA 94131",-122.436616,37.7385341
23335,"5517 Diamond Heights Blvd, San Francisco, CA 94131",-122.4358751,37.7395161
23336,"5725 Diamond Heights Blvd, San Francisco, CA 94131",-122.4399338,37.738221
23337,"1626 Dolores, San Francisco, CA 94110",-122.4248186,37.7433967
23338,"126 Dolores St, San Francisco, CA 94103",-122.4269774,37.767375
23339,"742 Dolores St, San Francisco, CA 94110-2214",-122.4260981,37.7575289
23340,"1148 Dolores, San Francisco, CA 94110",-122.425468,37.751143
23341,"126 Dolores St, San Francisco, CA 94103",-122.4269774,37.767375
23342,"1148 Dolores St, San Francisco, CA 94114",-122.425468,37.751143
23343,"1632 Dolores St, San Francisco, CA 94109",-122.424744,37.743309
23344,"370 Dorantes Ave, San Francisco, CA 94116-1919",-122.4677546,37.7448109
23345,"40 Dorchester Way, San Francisco, CA 94127",-122.4628898,37.7405014
23346,"338 Duncan St, San Francisco, CA 94115",-122.4286088,37.7462262
23347,"818 Duncan St, San Francisco, CA 94110",-122.4384611,37.7455734
23348,"822 Duncan St, San Francisco, CA 94114",-122.4385397,37.7455824
23349,"355 Edgehill Way, San Francisco, CA 94127",-122.4600978,37.7427053
23350,"240 El Camino Del Mar, San Francisco, CA 94121",-122.4860987,37.7877554
23351,"236 El Camino Del Mar, San Francisco, CA 94121",-122.4860323,37.7877572
23352,"351 El Camino Del Mar, San Francisco, CA 94121-1130",-122.487112,37.7873445
23353,"345 El Camino Del Mar, San Francisco, CA 94121-1130",-122.4870346,37.7873589
23354,"140 El Camino Del Mar, San Francisco, CA 94121",-122.4849567,37.7878688
23355,"333 El Camino Del Mar, San Francisco, CA 94121",-122.4869018,37.7873627
23356,"511 El Camino Del Mar, San Francisco, CA 94121",-122.4888032,37.7874832
23357,"226 El Camino Del Mar, San Francisco, CA 94121-1115",-122.4858223,37.7878313
23358,"345 El Camino Del Mar, San Francisco, CA 94121",-122.4870346,37.7873589
23359,"301 El Camino Del Mar Ave, San Francisco, CA 94121",-122.4865297,37.7873869
23360,"425 El Camino Del Mar, San Francisco, CA 94121",-122.4878746,37.787286
23361,"745 El Camino Del Mar, San Francisco, CA 94121",-122.4912793,37.7859012
23362,"630 El Camino Del Mar, San Francisco, CA 94121",-122.4903059,37.7866846
23363,"420 El Camino Del Mar, San Francisco, CA 94121",-122.4878088,37.7878458
23364,"440 El Camino Del Mar, San Francisco, CA 94121-1040",-122.4881401,37.7878736
23365,"738 El Camino Del Mar Ave, San Francisco, CA 94121",-122.4912348,37.786398
23366,"549 El Camino Del Mar, San Francisco, CA 94121",-122.4893493,37.787174
23367,"555 El Camino Del Mar, San Francisco, CA 94121",-122.4893337,37.7870594
23368,"520 El Camino Del Mar, San Francisco, CA 94121-0142",-122.4888472,37.787916
23369,"632 El Camino Del Mar, San Francisco, CA 94121-1044",-122.4904833,37.7865932
23370,"34 El Sereno Ct, San Francisco, CA 94127-1816",-122.4449667,37.7388505
23371,"46 El Sereno Ct, San Francisco, CA 94127",-122.4451425,37.7388434
23372,"10 El Sereno Ct, San Francisco, CA 94127",-122.444429,37.738916
23373,"34 El Sereno Ct, San Francisco, CA 94127",-122.4449667,37.7388505
23374,"82 El Sereno Ct, San Francisco, CA 94127",-122.4458109,37.739138
23375,"10 El Sereno Ct, San Francisco, CA 94127",-122.444429,37.738916
23376,"88 El Sereno Ct, San Francisco, CA 94127",-122.4458778,37.7391657
23377,"105 El Verano Way, San Francisco, CA 94127-2036",-122.4610765,37.7312673
23378,"600 Ellsworth St, San Francisco, CA 94110",-122.4150149,37.7358933
23379,"2 Everson, San Francisco, CA 94114",-122.4294272,37.7387528
23380,"1275 Florida, San Francisco, CA 94122",-81.5157535,27.6648274
23381,"3660 Folsom, San Francisco, CA 94114",-122.413422,37.7407405
23382,"29 Forest Knolls Dr, San Francisco, CA 9413",-122.4547629,37.756266
23383,"525 Franconia St, San Francisco, CA 04110",-122.4080901,37.7420066
23384,"105 Franconia, San Francisco, CA 95411-0",-122.4078383,37.7463462
23385,"925 Fulton St, San Francisco, CA 94117",-122.432511,37.777294
23386,"1947 Funston Ave, San Francisco, CA 94122",-122.469898,37.751847
23387,"7724 Geary Blvd, San Francisco, CA 94121",-122.5024649,37.7798471
23388,"1270 Geneva Ave, San Francisco, CA 94112",-122.435141,37.71343
23389,"1294 Geneva Ave, San Francisco, CA 94112-3824",-122.4349109,37.7133683
23390,"1300 Geneva Ave, San Francisco, CA 94112",-122.4345811,37.7132
23391,"646 Geneva Ave, San Francisco, CA 94112",-122.4445343,37.7193765
23392,"226 Geneva Ave, San Francisco, CA 94112-2410",-122.4489793,37.721412
